user_id,address_id,card_number,expiration_date,cvv,card_type
1,17,499406211987046,2019-04-29,5502,AMEX
3,8,219075534575493,2019-01-06,7230,MASTERCARD
7,7,332407938908674,2020-01-14,2444,DISCOVER
8,19,612575859712099,2020-03-22,1657,VISA
11,4,474016565248221,2019-07-19,7545,MASTERCARD
6,4,773843110367315,2019-01-13,1583,VISA
8,5,374755974890609,2020-03-09,3308,MASTERCARD
11,17,989543465121345,2018-12-25,9358,DISCOVER
1,17,501633683622955,2020-05-27,2271,DISCOVER
10,2,140256837208036,2019-05-20,9405,MASTERCARD
15,5,775619183810063,2020-04-20,1127,AMEX
6,15,278322929648765,2019-11-09,2305,DISCOVER
10,16,543613204278944,2019-12-26,1148,VISA
7,5,541793032342443,2019-01-10,5764,MASTERCARD
10,5,711346934875694,2019-06-08,6364,AMEX
14,7,751098809421578,2019-11-09,1015,MASTERCARD
3,5,567570037874956,2019-06-26,189,DISCOVER
8,1,397082742929749,2019-11-12,3456,DISCOVER
2,3,305433380535539,2018-12-17,9959,MASTERCARD
9,7,986383595430800,2019-08-26,909,MASTERCARD
